,first_char,probability,second_char
993,26,0.0342778228454,31
994,26,0.00246262602851,32
995,26,0.00381851894773,33
996,26,0.000780314443543,34
997,26,0.0103314404914,35
998,26,0.00110673310928,36
999,27,0.000748973905749,0
1000,27,0.00227688067348,1
1001,27,0.00236675754217,2
1002,27,0.00125827616166,3
1003,27,0.00161778363642,4
1004,27,0.00128823511789,5
1005,27,0.000689055993289,6
1006,27,0.000808891818209,7
1007,27,0.00263638814824,8
1008,27,0.0014979478115,9
1009,27,0.0,10
1010,27,0.0417927439408,11
1011,27,0.0100062913808,12
1012,27,0.0148596422901,13
1013,27,0.00865813835046,14
1014,27,0.00970670181851,15
1015,27,0.00587195542107,16
1016,27,0.00482339195302,17
1017,27,0.010036250337,18
1018,27,0.0393960274424,19
1019,27,0.00275622397316,20
1020,27,0.00260642919201,21
1021,27,0.0186045118188,22
1022,27,0.0117439108421,23
1023,27,0.00698043680158,24
1024,27,0.0102459630306,25
1025,27,0.0097965786872,26
1026,27,0.013151981785,27
